category,revenue_share,allocated_ad_budget_usd,allocated_sales_usd,marketing_intensity,source
Fabric And Home Care,0.35,2996000000.0,29413650000.0,10.19%,P&G Form 10-K Annual Report (US SEC EDGAR)
Baby Feminine And Family,0.25,2140000000.0,21009750000.0,10.19%,P&G Form 10-K Annual Report (US SEC EDGAR)
Beauty,0.18,1540800000.0,15127020000.0,10.19%,P&G Form 10-K Annual Report (US SEC EDGAR)
Health Care,0.14,1198400000.0,11765460000.0,10.19%,P&G Form 10-K Annual Report (US SEC EDGAR)
Grooming,0.08,684800000.0,6723120000.0,10.19%,P&G Form 10-K Annual Report (US SEC EDGAR)
